id,created_at,text,hashtag
419214643429507072,2014-01-03 21:12:14,NASA Aqua composite satellite image shows massive U.S. winter storm http://t.co/gGGSTjZs0i,
418972249282977792,2014-01-03 05:09:03,Dangerous cold moves in after lake-effect snow in Chicago http://t.co/3orsYC6U3W,
418942033294667776,2014-01-03 03:08:58,"100 million+ under some type of winter storm warning, watch or advisory as winter storm hits northeast http://t.co/ARtSYWYDWO",
418439575590023168,2014-01-01 17:52:23,First weather forecast for a planet outside our solar system - Hubble spots two cloud planets http://t.co/Tb6zxFCXq3,
412360481563627521,2013-12-15 23:16:14,"A high ridge in Antarctica is the coldest place on Earth - fell to minus 136 F (-93.2 C) on August 10, 2010 http://t.co/ErNBu0Pd5q",
402348911647399936,2013-11-18 08:13:50,6 killed in Midwest tornado outbreak http://t.co/0PxzzoVyY6,
392465444361093120,2013-10-22 01:40:28,Massive Austrialian wildfire expected to generate a pyrocumulus cloud http://t.co/EaAJrx0Q2h,
378285367977185280,2013-09-12 22:33:54,Smokenado forms in field in Mississippi http://t.co/LO8thMG3Uz,
371715888132530176,2013-08-25 19:29:08,Snow plows were called in to clean up after a huge hail storm in Colorado last week http://t.co/UK5Fb9BWmZ,
370145724932952064,2013-08-21 11:29:52,Video: 10 years of weather history in 3 minutes http://t.co/koQLoblvKp,
365234216373460993,2013-08-07 22:13:17,Video: Mammatus clouds in Michigan http://t.co/WZvv0nY21p,
363274386410700801,2013-08-02 12:25:37,"Footage of flying debris from Milan, Italy tornado http://t.co/FbLLKzXiKW",
361437008989655041,2013-07-28 10:44:32,"Tropical Storm Flossie headed for Hawaii, max winds 60 mph http://t.co/uRIAQaFqgH",
354849084303093762,2013-07-10 06:26:29,Video: Spider frightens meteorologist http://t.co/FYjNWL7MRN,
352886718170529792,2013-07-04 20:28:44,Heavy rain threat spreads from Northern Gulf into Ohio http://t.co/dXwX5QFm2C,
352184823781138432,2013-07-02 21:59:39,"Cool short film, Adrift, shows San Francisco fog http://t.co/G8iOvgipnv",
351790613634625536,2013-07-01 19:53:12,Ninteen firefighters killed in Yarnell Hill Fire in Arizona http://t.co/ngNq9lMOCY,
351506670003830784,2013-07-01 01:04:55,National Weather Service guys bake cookies on their dashboard during raging heatwave http://t.co/1BTHxgNj2q,
350012333503938562,2013-06-26 22:06:57,Major heat wave expected in western U.S. - Las Vegas could potentially tie or break all-time temperature record http://t.co/P3MyNa7pIz,
348206671018983425,2013-06-21 22:31:54,"Alberta, Canada hit by massive flooding http://t.co/NSWQ22tEC8",
347491512050925573,2013-06-19 23:10:07,Hawaii expected to get hit by more hurricanes by 2075 http://t.co/MlqhuiW8Pc,
347327750119493632,2013-06-19 12:19:23,Apartment block swept away in Northern India floods http://t.co/UhvaYV4lJJ (via @newsnacho),
344972500972744706,2013-06-13 00:20:28,List of SPC High Risk days http://t.co/bQWIVDpSFl,
344871580863692801,2013-06-12 17:39:26,SPC: High risk of severe weather event in portions of northern Illinois and Indiana http://t.co/HCnZBxI1eM,
344831245861126144,2013-06-12 14:59:10,"SPC forecasts moderate risk of severe weather in parts of Illinois, Indiana and Ohio today http://t.co/HCnZBxI1eM",
342300553080082433,2013-06-05 15:23:06,"National Weather Service says El Reno, Oklahoma tornado was a record 2.6 miles wide http://t.co/4XHskGiHby",
341798582707441664,2013-06-04 06:08:27,"Large dust devil captured on video in Tucson, Arizona http://t.co/HOblD1JIkV",
341310590469414912,2013-06-02 21:49:20,3 veteran storm chasers killed by Oklahoma tornado http://t.co/XDDTddoI5i,
340569511759597568,2013-05-31 20:44:33,PDS Tornado Watch issued for portions of central and northeast Oklahoma http://t.co/TV7Q0Qanf5,
339991881956093952,2013-05-30 06:29:16,Security cameras captured a flash flood bursting through the door of a building at Carl Sandburg College http://t.co/f1FX22oA5h,
339741084664086528,2013-05-29 13:52:41,SPC forecasts moderate risk of severe weather over parts of central and southern plains today &amp; tonight http://t.co/6hSFzIbgL5,
338108894104662016,2013-05-25 01:46:56,NOAA is predicting a 70% chance of 13 to 20 named storms for the 2013 hurricane season http://t.co/4POKvee4uh,
336850829707460608,2013-05-21 14:27:50,"Moore, Oklahoma tornado threw debris 20,000 feet Into the air http://t.co/S1ZSDWp1FU (via @science)",
336797813050593280,2013-05-21 10:57:10,"SPC forecasts moderate risk day - severe weather most likely in portions of Arkansas, Louisiana, Oklahoma and Texas http://t.co/07G0Usb1We",
336602771044327424,2013-05-20 22:02:09,Massive two-mile-wide tornado hits Oklahoma City area http://t.co/5TAObzibKe (via @newsalert),
336590380596334593,2013-05-20 21:12:54,Live streaming of damage from massive Oklahoma tornado http://t.co/BweP7NxzDT,
336096994705690624,2013-05-19 12:32:22,SPC forecasting moderate risk of severe thunderstorms for parts of the central plains later today http://t.co/07G0Usb1We,
